DomainLabel	nMuts	nGenes	pfam	Description
Myb_DNA-bind_4	3	2	pfam13837	Myb/SANT-like DNA-binding domain
Myelin_PLP	3	1	cl02417	Myelin proteolipid protein (PLP or lipophilin)
Myosin_N	3	3	pfam02736	Myosin N-terminal SH3-like domain
Myosin_TH1	3	2	pfam06017	Myosin tail
N1221	3	2	pfam07923	N1221-like protein
NGF	3	1	pfam00243	Nerve growth factor family
NPR2	3	1	pfam06218	Nitrogen permease regulator 2
NRDE-2	3	1	pfam08424	NRDE-2, necessary for RNA interference
NR_DBD_like	3	2	cl02596	DNA-binding domain of nuclear receptors is composed of two C4-type zinc fingers
NT-C2	3	2	pfam10358	N-terminal C2 in EEIG1 and EHBP1 proteins
NUT_N	3	2	pfam12881	NUT protein N terminus
Neurexophilin	3	2	pfam06312	Neurexophilin
NhaP	3	1	COG0025	NhaP-type Na+/H+ and K+/H+ antiporters [Inorganic ion transport and metabolism]
NirB	3	1	COG1251	NAD(P)H-nitrite reductase [Energy production and conversion]
OMP_decarboxylase_like	3	1	cd04725	Orotidine 5'-phosphate decarboxylase (ODCase) is a dimeric enzyme that decarboxylates orotidine 5'-monophosphate (OMP) to form uridine 5'-phosphate (UMP), an essential step in the pyrimidine biosynthetic pathway. In mammals, UMP synthase contains two...
Osteoregulin	3	1	pfam07175	Osteoregulin
P5-ATPase	3	2	pfam12409	P5-type ATPase cation transporter
PAI-2	3	2	cd02058	Plasminogen Activator Inhibitor-2 (PAI-2). PAI-2 is a serine protease inhibitor that belongs to the ov-serpin branch of the serpin superfamily. It is is an effective inhibitor of urinary plasminogen activator (urokinase or uPA) and is involved in cell...
PAP2_containing_1_like	3	2	cd03390	PAP2, subfamily similar to human phosphatidic_acid_phosphatase_type_2_domain_containing_1. Most likely membrane-associated phosphatidic acid phosphatases. Plant members of this group are constitutively expressed in many tissues and exhibit both...
PAP2_wunen	3	2	cd03384	PAP2, wunen subfamily. Most likely a family of membrane associated phosphatidic acid phosphatases. Wunen is a drosophila protein expressed in the central nervous system, which provides repellent activity towards primordial germ cells (PGCs), controls the...
PBP1_NPR_A	3	1	cd06385	Ligand-binding domain of type A natriuretic peptide receptor
PBP1_Taste_receptor	3	3	cd06363	Ligand-binding domain of the T1R taste receptor
PBP1_mGluR_groupI	3	2	cd06374	Ligand binding domain of the group I metabotropic glutamate receptor
PBP1_sensory_GC_DEF_like	3	1	cd06371	Ligand-binding domain of membrane guanylyl cyclases (GC-D, GC-E, and GC-F) that are specifically expressed in sensory tissues
PC-Esterase	3	1	pfam13839	GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p
PCC	3	1	TIGR00864	polycystin cation channel protein
PCNA	3	1	cd00577	Proliferating Cell Nuclear Antigen (PCNA) domain found in eukaryotes and archaea.  These polymerase processivity factors play a role in DNA replication and repair.  PCNA encircles duplex DNA in its central cavity, providing a DNA-bound platform for the...
PDI_b_family	3	1	composed of eukaryotic proteins involved in oxidative protein folding in the endoplasmic reticulum (ER) by acting as catalysts and folding assistants. Members of this family...	Protein Disulfide Isomerase (PDIb) family, redox inactive TRX-like domain b
PG_binding_1	3	3	pfam01471	Putative peptidoglycan binding domain
PH_PLC	3	2	cd01248	Phospholipase C (PLC) pleckstrin homology (PH) domain
PI-PLCc_GDPD_SF	3	2	cl14615	Catalytic domain of phosphoinositide-specific phospholipase C-like phosphodiesterases superfamily
PI3Kc_IA_alpha	3	1	The PI3K catalytic domain family is part of a larger superfamily that includes the catalytic domains of other kinases such as the typical serine/threonine/tyrosine protein...	Phosphoinositide 3-kinase (PI3K), class IA, alpha isoform, catalytic domain
PLAT_LOX	3	2	cd01753	PLAT domain of 12/15-lipoxygenase. As a unique subfamily of the mammalian lipoxygenases, they catalyze enzymatic lipid peroxidation in complex biological structures via direct dioxygenation of phospholipids and cholesterol esters of biomembranes and...
PLN00144	3	1	NA	acetylornithine transaminase
PLN02327	3	2	NA	CTP synthase
PLN02387	3	2	NA	long-chain-fatty-acid-CoA ligase family protein
PLN02566	3	1	NA	amine oxidase (copper-containing)
PLN02568	3	2	NA	polyamine oxidase
PLN02996	3	2	NA	fatty acyl-CoA reductase
PLN03107	3	3	Provisional	eukaryotic translation initiation factor 5A
PLN03110	3	3	Provisional	Rab GTPase
PLN03123	3	1	Provisional	poly [ADP-ribose] polymerase
PLN03129	3	2	Provisional	NADP-dependent malic enzyme
PLN03226	3	1	Provisional	serine hydroxymethyltransferase
PLU-1	3	2	pfam08429	PLU-1-like protein
PNMA	3	2	NA	NA
PP2C	3	3	pfam00481	Protein phosphatase 2C
PRK01297	3	1	Provisional	ATP-dependent RNA helicase RhlB
PRK05367	3	1	Provisional	glycine dehydrogenase
PRK06138	3	2	Provisional	short chain dehydrogenase
PRK08565	3	1	Provisional	DNA-directed RNA polymerase subunit B
PRK11192	3	3	Provisional	ATP-dependent RNA helicase SrmB
PRK11749	3	1	Provisional	dihydropyrimidine dehydrogenase subunit A
PRK14968	3	1	Provisional	putative methyltransferase
PRP8	3	1	COG5178	U5 snRNP spliceosome subunit [RNA processing and modification]
PTKc_Ror1	3	1	cd05090	Catalytic domain of the Protein Tyrosine Kinase, Receptor tyrosine kinase-like Orphan Receptor 1
PTKc_TrkB	3	1	cd05093	Catalytic domain of the Protein Tyrosine Kinase, Tropomyosin Related Kinase B
PTX	3	3	cd00152	Pentraxins are plasma proteins characterized by their pentameric discoid assembly and their Ca2+ dependent ligand binding, such as Serum amyloid P component (SAP) and C-reactive Protein (CRP), which are cytokine-inducible acute-phase proteins implicated...
PTZ00092	3	1	Provisional	aconitate hydratase-like protein
PTZ00141	3	2	Provisional	elongation factor 1- alpha
PTZ00166	3	1	Provisional	DNA polymerase delta catalytic subunit
PTZ00339	3	1	Provisional	UDP-N-acetylglucosamine pyrophosphorylase
ParcG	3	1	pfam10274	Parkin co-regulated protein
Patatin_and_cPLA2	3	2	cl11396	Patatins and Phospholipases
PepP	3	2	COG0006	Xaa-Pro aminopeptidase [Amino acid transport and metabolism]
Peptidase_C15	3	1	cd00501	Pyroglutamyl peptidase (PGP) type I, also known as pyrrolidone carboxyl peptidase (pcp) type I:  Enzymes responsible for cleaving pyroglutamate (pGlu) from the N-terminal end of specialized proteins. The N-terminal pGlu protects these proteins from...
Peptidase_C19E	3	3	cd02661	A subfamily of Peptidase C19. Peptidase C19 contains ubiquitinyl hydrolases. They are intracellular peptidases that remove ubiquitin molecules from polyubiquinated peptides by cleavage of isopeptide bonds. They hydrolyze bonds involving the carboxyl...
Peptidase_C19I	3	2	cd02665	A subfamily of Peptidase C19. Peptidase C19 contains ubiquitinyl hydrolases. They are intracellular peptidases that remove ubiquitin molecules from polyubiquinated peptides by cleavage of isopeptide bonds. They hydrolyze bonds involving the carboxyl...
Peptidase_M17	3	2	cd00433	Cytosol aminopeptidase family, N-terminal and catalytic domains.  Family M17 contains zinc- and manganese-dependent exopeptidases ( EC  3.4.11.1), including leucine aminopeptidase. They catalyze removal of amino acids from the N-terminus of a protein and...
Peptidase_S10	3	3	pfam00450	Serine carboxypeptidase
Peptidase_S28	3	2	cl15279	Serine carboxypeptidase S28
Plectin	3	3	pfam00681	Plectin repeat
Pre-SET	3	2	pfam05033	Pre-SET motif
Protocadherin	3	2	pfam08374	Protocadherin
Prox1	3	2	pfam05044	Homeobox prospero-like protein (PROX1)
Ptr	3	2	COG1025	Secreted/periplasmic Zn-dependent peptidases, insulinase-like [Posttranslational modification, protein turnover, chaperones]
RAG2	3	1	pfam03089	Recombination activating protein 2
RB_A	3	2	pfam01858	Retinoblastoma-associated protein A domain
RGS_GRK4	3	1	cd08750	Regulator of G protein signaling domain (RGS) found in G protein-coupled receptor kinase 4 (GRK4)
RIBOc	3	2	cd00593	RIBOc. Ribonuclease III C terminal domain. This group consists of eukaryotic, bacterial and archeal ribonuclease III (RNAse III) proteins. RNAse III is a double stranded RNA-specific endonuclease. Prokaryotic RNAse III is important in...
RING	3	3	defined by the 'cross-brace' motif C-X2-C-X(9-39)-C-X(1-3)- H-X(2-3)-(N/C/H)-X2-C-X(4-48)C-X2-C	RING-finger (Really Interesting New Gene) domain, a specialized type of Zn-finger of 40 to 60 residues that binds two atoms of zinc
RNA_pol_Rpb1_1	3	2	pfam04997	RNA polymerase Rpb1, domain 1
RPE65	3	2	pfam03055	Retinal pigment epithelial membrane protein
RPEL	3	3	pfam02755	RPEL repeat
RP_DDI	3	1	retropepsin-like domain of DNA damage inducible protein	RP_DDI
Rad21_Rec8_N	3	1	pfam04825	N terminus of Rad21 / Rec8 like protein
RalA_RalB	3	3	cd04139	Ral (Ras-like) family containing highly homologous RalA and RalB
Reelin_subrepeat_Nt	3	1	cd10036	Additional N-terminal subrepeat of reelin
Response_reg	3	1	pfam00072	Response regulator receiver domain
Reticulon	3	3	pfam02453	Reticulon
RhoGAP_BRCC3-like	3	3	cd04405	RhoGAP_BRCC3-like: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of BRCC3-like proteins. This subgroup also contains two groups of closely related proteins, BRCC3 and DEPDC7, which both contain a C-terminal RhoGAP-like domain...
RhoGAP_CdGAP	3	2	CdGAP contains an N-terminal RhoGAP domain and a C-terminal proline-rich region, and it is active on both Cdc42 and Rac1 but not RhoA. CdGAP...	RhoGAP_CdGAP: RhoGAP (GTPase-activator protein [GAP] for Rho-like small GTPases) domain of CdGAP-like proteins
Rho_Binding	3	2	pfam08912	Rho Binding
SAC6	3	2	COG5069	Ca2+-binding actin-bundling protein fimbrin/plastin (EF-Hand superfamily) [Cytoskeleton]
SAM_AIDA1AB-like_repeat1	3	2	cd09499	SAM domain of AIDA1AB-like proteins, repeat 1
SAND	3	3	pfam01342	SAND domain
SCP	3	2	cl00133	SCP: SCP-like extracellular protein domain, found in eukaryotes and prokaryotes. This family includes plant pathogenesis-related protein 1 (PR-1), which accumulates after infections with pathogens, and may act as an anti-fungal agent or be involved in...
SCP-1	3	1	pfam05483	Synaptonemal complex protein 1 (SCP-1)
SCP1	3	2	COG5199	Calponin [Cytoskeleton]
SDF	3	3	pfam00375	Sodium:dicarboxylate symporter family
SID-1_RNA_chan	3	1	pfam13965	dsRNA-gated channel SID-1
SK_channel	3	3	pfam03530	Calcium-activated SK potassium channel
SLC5sbd_CHT	3	1	solute-binding domain	Na(+)- and Cl(-)-dependent choline cotransporter CHT and related proteins
SLC5sbd_NIS	3	1	solute-binding domain	Na(+)/iodide cotransporter NIS and related proteins
STAS_SulP_like_sulfate_transporter	3	2	cd07042	Sulphate Transporter and Anti-Sigma factor antagonist domain of SulP-like sulfate transporters, plays a role in the function and regulation of the transport activity, proposed general NTP binding function
STKc_Nek4	3	1	cd08223	Catalytic domain of the Protein Serine/Threonine Kinase, Never In Mitosis gene A-related kinase 4
STT3	3	2	pfam02516	Oligosaccharyl transferase STT3 subunit
SXM1	3	1	COG5656	Importin, protein involved in nuclear import [Posttranslational modification, protein turnover, chaperones]
Sad1_UNC	3	2	pfam07738	Sad1 / UNC-like C-terminal
Sds3	3	2	pfam08598	Sds3-like
Smg4_UPF3	3	2	pfam03467	Smg-4/UPF3 family
Solute_trans_a	3	3	pfam03619	Organic solute transporter Ostalpha
Sox_C_TAD	3	3	pfam12067	Sox C-terminal transactivation domain
Spy1	3	3	pfam11357	Cell cycle regulatory protein
SrmB	3	3	COG0513	Superfamily II DNA and RNA helicases [DNA replication, recombination, and repair / Transcription / Translation, ribosomal structure and biogenesis]
Strabismus	3	2	pfam06638	Strabismus protein
Sua5_yciO_yrdC	3	1	pfam01300	Telomere recombination
SynN	3	2	syntaxins are nervous system-specific proteins implicated in the docking of synaptic vesicles with the presynaptic plasma membrane	Syntaxin N-terminus domain
Synaphin	3	2	pfam05835	Synaphin protein
TAFH	3	1	pfam07531	NHR1 homology to TAF
TALPID3	3	1	NA	NA
TEX15	3	1	NA	NA
THOC7	3	2	pfam05615	Tho complex subunit 7
TMPIT	3	2	pfam07851	TMPIT-like protein
TNG2	3	2	COG5034	Chromatin remodeling protein, contains PhD zinc finger [Chromatin structure and dynamics]
TPD52	3	2	pfam04201	Tumour protein D52 family
TREX1_2	3	1	cd06136	DEDDh 3'-5' exonuclease domain of three prime repair exonuclease (TREX)1, TREX2, and similar proteins
TSP_1	3	3	cl15278	Thrombospondin type 1 domain
Taxilin	3	2	pfam09728	Myosin-like coiled-coil protein
Tis11B_N	3	1	pfam04553	Tis11B like protein, N terminus
Tissue_fac	3	2	pfam01108	Tissue factor
Transglut_C	3	3	pfam00927	Transglutaminase family, C-terminal ig like domain
Trichoplein	3	3	pfam13868	Tumour suppressor, Mitostatin
Tropomyosin	3	3	pfam00261	Tropomyosin
Udk	3	2	COG0572	Uridine kinase [Nucleotide transport and metabolism]
V-ATPase_C	3	1	pfam03223	V-ATPase subunit C
VCBS	3	2	pfam13517	Family description
V_Alix_like	3	2	cl14654	Protein-interacting V-domain of mammalian Alix and related domains
WAP	3	2	cd00199	whey acidic protein-type four-disulfide core domains. Members of the family include whey acidic protein, elafin (elastase-specific inhibitor), caltrin-like protein (a calcium transport inhibitor) and other extracellular proteinase inhibitors. A group of...
WTX	3	2	pfam09422	WTX protein
ZP	3	2	smart00241	Zona pellucida (ZP) domain
ZnF_GATA	3	3	binds specifically to DNA consensus sequence [AT]GATA[AG] promoter elements	Zinc finger DNA binding domain
Zona_pellucida	3	2	pfam00100	Zona pellucida-like domain
alpha_tubulin	3	2	cd02186	The tubulin superfamily includes five distinct families, the alpha-, beta-, gamma-, delta-, and epsilon-tubulins and a sixth family (zeta-tubulin) which is present only in kinetoplastid protozoa. The alpha- and beta-tubulins are the major components of...
bZIP_1	3	3	pfam00170	bZIP transcription factor
cadherin-type repeats region	3	1	NA	NA
coagulation factor V activation peptide	3	1	NA	NA
coagulation factor V light chain	3	1	NA	NA
cytidine_deaminase	3	3	cd01283	Cytidine deaminase zinc-binding domain. These enzymes are Zn dependent. The zinc ion in the active site plays a central role in the proposed catalytic mechanism, activating a water molecule to form a hydroxide ion that performs a nucleophilic attack on...
dTDP_GD_SDR_e	3	1	cd05246	dTDP-D-glucose 4,6-dehydratase, extended (e) SDRs
delta_tubulin	3	1	cd02189	The tubulin superfamily includes five distinct families, the alpha-, beta-, gamma-, delta-, and epsilon-tubulins and a sixth family (zeta-tubulin) which is present only in kinetoplastid protozoa. The alpha- and beta-tubulins are the major components of...
fa_ox_alpha_mit	3	1	TIGR02441	fatty acid oxidation complex, alpha subunit, mitochondrial
gelsolin_S5_like	3	3	cd11288	Gelsolin sub-domain 5-like domain found in gelsolin, severin, villin, and related proteins
hnRNP-L_PTB	3	2	TIGR01649	hnRNP-L/PTB/hephaestus splicing factor family
lipoyl_domain	3	1	cd06849	Lipoyl domain of the dihydrolipoyl acyltransferase component (E2) of 2-oxo acid dehydrogenases. 2-oxo acid dehydrogenase multienzyme complexes, like pyruvate dehydrogenase (PDH), 2-oxoglutarate dehydrogenase (OGDH) and branched-chain 2-oxo acid...
mTERF	3	2	pfam02536	mTERF
mutl	3	2	TIGR00585	DNA mismatch repair protein MutL
non_repeat_PQQ	3	3	TIGR03606	dehydrogenase, PQQ-dependent, s-GDH family
oat	3	2	TIGR00805	sodium-independent organic anion transporter
peroxidasin_like	3	1	cd09826	Animal heme peroxidase domain of peroxidasin and related proteins
prpE	3	1	Provisional	propionyl-CoA synthetase
rad3	3	2	TIGR00604	DNA repair helicase (rad3)
recomb_DMC1	3	1	TIGR02238	meiotic recombinase Dmc1
serine protease hepsin non-catalytic chain	3	1	NA	NA
sulfotransferase domain	3	2	NA	NA
synapt_SV2	3	2	TIGR01299	synaptic vesicle protein SV2
type2_17beta_HSD-like_SDR_c	3	3	cd09805	human 17beta-hydroxysteroid dehydrogenase type 2 (type 2 17beta-HSD)-like, classical (c) SDRs
vWA_Matrilin	3	2	cd01475	VWA_Matrilin: In cartilaginous plate, extracellular matrix molecules mediate cell-matrix and matrix-matrix interactions thereby providing tissue integrity. Some members of the matrilin family are expressed specifically in developing cartilage rudiments
vWA_collagen	3	1	equivalent to the I-domain of integrins.  This domain has a variety of functions including: intermolecular adhesion, cell migration, signalling, transcription, and DNA repair. In integrins these domains form...	von Willebrand factor (vWF) type A domain
vWA_collagen_alpha3-VI-like	3	1	cd01481	VWA_collagen alpha 3(VI) like: The extracellular matrix represents a complex alloy of variable members of diverse protein families defining structural integrity and various physiological functions. The most abundant family is the collagens with more than...
vWA_collagen_alpha_1-VI-type	3	2	cd01480	VWA_collagen alpha(VI) type: The extracellular matrix represents a complex alloy of variable members of diverse protein families defining structural integrity and various physiological functions. The most abundant family is the collagens with more than...
zf-C2H2_jaz	3	3	cl09952	Zinc-finger double-stranded RNA-binding
zf-CCCH	3	2	cl11592	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
zf-DHHC	3	3	pfam01529	DHHC palmitoyltransferase
zf-TAZ	3	2	pfam02135	TAZ zinc finger
3a01208	2	1	TIGR00958	Conjugate Transporter-2 (CT2) Family protein
6PF2K	2	2	pfam01591	6-phosphofructo-2-kinase
A2M_N	2	2	pfam01835	MG2 domain
AAA_33	2	2	pfam13671	AAA domain
AA_permease_2	2	1	pfam13520	Amino acid permease
ABCG_EPDR	2	1	cd03213	ABCG transporters are involved in eye pigment (EP) precursor transport, regulation of lipid-trafficking mechanisms, and pleiotropic drug resistance (DR).  DR is a well-described phenomenon occurring in fungi and shares several similarities with processes...
ABCG_White	2	1	cd03234	The White subfamily represents ABC transporters homologous to the Drosophila white gene, which acts as a dimeric importer for eye pigment precursors.  The eye pigmentation of Drosophila is developed from the synthesis and deposition in the cells of red...
ACC_central	2	1	pfam08326	Acetyl-CoA carboxylase, central region
ADA	2	1	cd01320	Adenosine deaminase (ADA) is a monomeric zinc dependent enzyme which catalyzes the irreversible hydrolytic deamination of both adenosine, as well as desoxyadenosine, to ammonia and inosine or desoxyinosine, respectively. ADA plays an important role in...
ADAM_CR	2	2	cl15456	ADAM cysteine-rich
AMH_N	2	1	pfam04709	Anti-Mullerian hormone, N terminal region
AMMECR1	2	1	pfam01871	AMMECR1
AMS1	2	1	COG0383	Alpha-mannosidase [Carbohydrate transport and metabolism]
ANF_receptor	2	2	pfam01094	Receptor family ligand binding region
APC_basic	2	1	pfam05956	APC basic domain
APG9	2	2	pfam04109	Autophagy protein Apg9
APOBEC_N	2	2	pfam08210	APOBEC-like N-terminal domain
APPLE_Factor_XI_like	2	2	present in plasma prekallikrein/coagulation factor XI, microneme antigen proteins, and a few prokaryotic proteins. PAN/APPLE domains fulfill diverse biological functions by mediating protein-protein or...	Subfamily of PAN/APPLE-like domains
APSK	2	2	cd02027	Adenosine 5'-phosphosulfate kinase (APSK) catalyzes the phosphorylation of adenosine 5'-phosphosulfate to form 3'-phosphoadenosine 5'-phosphosulfate (PAPS). The end-product PAPS is a biologically 'activated' sulfate form important for the assimilation of...
ARID	2	2	pfam01388	ARID/BRIGHT DNA binding domain
ASC	2	2	cl02990	Amiloride-sensitive sodium channel
ATP-synt_B	2	2	cl07975	ATP synthase B/B' CF(0)
ATP_bind_1	2	2	pfam03029	Conserved hypothetical ATP binding protein
AcuC	2	2	COG0123	Deacetylases, including yeast histone deacetylase and acetoin utilization protein [Chromatin structure and dynamics / Secondary metabolites biosynthesis, transport, and catabolism]
Add	2	1	COG1816	Adenosine deaminase [Nucleotide transport and metabolism]
Aldolase_II	2	2	cd00398	Class II Aldolase and Adducin head (N-terminal) domain. Aldolases are ubiquitous enzymes catalyzing central steps of carbohydrate metabolism. Based on enzymatic mechanisms, this superfamily has been divided into two distinct classes (Class I and II)
Amidohydro_2	2	1	pfam04909	Amidohydrolase
AmyAc_bac_euk_AmyA	2	2	cd11317	Alpha amylase catalytic domain found in bacterial and eukaryotic Alpha amylases (also called 1,4-alpha-D-glucan-4-glucanohydrolase)
Apc5	2	1	pfam12862	Anaphase-promoting complex subunit 5
Arginase-like	2	1	cd11587	Arginase types I and II and arginase-like family
Arm_2	2	2	pfam04826	Armadillo-like
Arrestin_C	2	1	smart01017	Arrestin (or S-antigen), C-terminal domain
AsnB	2	1	cd00712	Glutamine amidotransferases class-II (GATase) asparagine synthase_B type.  Asparagine synthetase B catalyses the ATP-dependent conversion of aspartate to asparagine. This enzyme is a homodimer, with each monomer composed of a  glutaminase domain and a...
Asp-B-Hydro_N	2	1	pfam05279	Aspartyl beta-hydroxylase N-terminal region
BCAS3	2	1	pfam12490	Breast carcinoma amplified sequence 3
BDV_P40	2	2	pfam06407	Borna disease virus P40 protein
BFIT_BACH	2	2	cd03442	Brown fat-inducible thioesterase (BFIT).  Brain acyl-CoA hydrolase (BACH).  These enzymes deacylate long-chain fatty acids by hydrolyzing acyl-CoA thioesters to free fatty acids and CoA-SH. Eukaryotic members of this family are expressed in brain, testis
BK_channel_a	2	2	pfam03493	Calcium-activated BK potassium channel alpha subunit
BNIP3	2	2	pfam06553	BNIP3
BRCA-2_OB1	2	1	pfam09103	BRCA2, oligonucleotide/oligosaccharide-binding, domain 1
BRCT	2	2	cd00027	Breast Cancer Suppressor Protein (BRCA1), carboxy-terminal domain. The BRCT domain is found within many DNA damage repair and cell cycle checkpoint proteins. The unique diversity of this domain superfamily allows BRCT modules to interact forming homo...
BRO1_Brox_like	2	1	cd09243	Protein-interacting Bro1-like domain of human Brox1 and related proteins
BTK	2	1	smart00107	Bruton's tyrosine kinase Cys-rich motif
Basic	2	1	pfam01586	Myogenic Basic domain
Beach	2	2	cd06071	BEACH (Beige and Chediak-Higashi) domains, implicated in membrane trafficking,  are present in a family of proteins conserved throughout eukaryotes. This group contains human lysosomal trafficking regulator (LYST), LPS-responsive and beige-like anchor
Bile_Hydr_Trans	2	1	pfam04775	Acyl-CoA thioester hydrolase/BAAT N-terminal region
Bravo_FIGEY	2	1	pfam13882	C-terminal domain of Fibronectin type III
Brix	2	1	cl00935	Brix domain
Bromo_Brdt_I_like	2	2	the first bromodomain in Brdt has been shown to be essential for male germ cell differentiation. Bromodomains are 110 amino...	Bromodomain, Brdt_like subfamily, repeat I. Human Brdt is a testis-specific member of the BET subfamily of bromodomain proteins
Bud13	2	1	pfam09736	Pre-mRNA-splicing factor of RES complex
C2-set_2	2	2	pfam08205	CD80-like C2-set immunoglobulin domain
C2A_PI3K_class_II	2	2	cd04012	C2 domain first repeat present in class II phosphatidylinositol 3-kinases (PI3Ks)
C2A_SLP-4_5	2	1	cd04029	C2 domain first repeat present in Synaptotagmin-like proteins 4 and 5
C2B_RIM1alpha	2	2	cd04028	C2 domain second repeat contained in Rab3-interacting molecule (RIM) proteins
C2B_Synaptotagmin-1	2	1	cd08402	C2 domain second repeat present in Synaptotagmin 1
C2F_Ferlin	2	1	cd08374	C2 domain sixth repeat in Ferlin
C2_Dock-C	2	1	cd08696	C2 domains found in Dedicator Of CytoKinesis (Dock) class C proteins
C2_Smurf-like	2	2	cd08382	C2 domain present in Smad ubiquitination-related factor (Smurf)-like proteins
C4	2	2	pfam01413	C-terminal tandem repeated domain in type 4 procollagen
CABS1	2	1	NA	NA
CAF1	2	2	pfam04857	CAF1 family ribonuclease
CASP_C	2	1	pfam08172	CASP C terminal
CATSPERB	2	1	NA	NA
CATSPERG	2	1	NA	NA
CA_like	2	2	cd00031	Cadherin repeat-like domain
CBF_beta	2	1	pfam02312	Core binding factor beta subunit
CBM_21	2	2	pfam03370	Putative phosphatase regulatory subunit
CCL1	2	2	COG5333	Cdk activating kinase (CAK)/RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH/TFIIK, cyclin H subunit [Cell division and chromosome partitioning / Transcription / DNA replication, recombination, and repair]
CD34_antigen	2	2	pfam06365	CD34/Podocalyxin family
CDF	2	2	TIGR01297	cation diffusion facilitator family transporter
CDO_I	2	1	pfam05995	Cysteine dioxygenase type I
CDP-OH_P_transf	2	2	pfam01066	CDP-alcohol phosphatidyltransferase
CIS_IPPS	2	2	homodimers which catalyze the successive 1'-4 condensation of the isopentenyl diphosphate (IPP) molecule to trans,trans-farnesyl diphosphate (FPP) or to cis,trans-FPP to form long-chain polyprenyl...	Cis (Z)-Isoprenyl Diphosphate Synthases (cis-IPPS)
CLCA_N	2	1	pfam08434	Calcium-activated chloride channel
CLECT_REG-1_like	2	1	cd03594	C-type lectin-like domain (CTLD) of the type found in Human REG-1 (lithostathine), REG-4, and avian eggshell-specific proteins: ansocalcin, structhiocalcin-1(SCA-1), and -2(SCA-2)
COG0679	2	1	NA	Predicted permeases [General function prediction only]
COG0731	2	1	NA	Fe-S oxidoreductases [Energy production and conversion]
COG1026	2	1	NA	Predicted Zn-dependent peptidases, insulinase-like [General function prediction only]
COG1112	2	1	NA	Superfamily I DNA and RNA helicases and helicase subunits [DNA replication, recombination, and repair]
COG1161	2	2	NA	Predicted GTPases [General function prediction only]
COG1216	2	2	NA	Predicted glycosyltransferases [General function prediction only]
COG1233	2	1	NA	Phytoene dehydrogenase and related proteins [Secondary metabolites biosynthesis, transport, and catabolism]
COG1408	2	1	NA	Predicted phosphohydrolases [General function prediction only]
COG1428	2	1	NA	Deoxynucleoside kinases [Nucleotide transport and metabolism]
COG2085	2	2	NA	Predicted dinucleotide-binding enzymes [General function prediction only]
COG2220	2	1	NA	Predicted Zn-dependent hydrolases of the beta-lactamase fold [General function prediction only]
COG2335	2	2	NA	Secreted and surface protein containing fasciclin-like repeats [Cell envelope biogenesis, outer membrane]
COG4097	2	1	NA	Predicted ferric reductase [Inorganic ion transport and metabolism]
COG5236	2	2	NA	Uncharacterized conserved protein, contains RING Zn-finger [General function prediction only]
COG5277	2	1	NA	Actin and related proteins [Cytoskeleton]
COG5406	2	1	NA	Nucleosome binding factor SPN, SPT16 subunit [Transcription / DNA replication, recombination, and repair / Chromatin structure and dynamics]
COPI_C	2	1	pfam06957	Coatomer (COPI) alpha subunit C-terminus
CRAL_TRIO_2	2	2	pfam13716	Divergent CRAL/TRIO domain
CRD_FZ	2	1	cl02447	CRD_domain cysteine-rich domain, also known as Fz (frizzled) domain
CRD_FZ6	2	1	cd07450	Cysteine-rich Wnt-binding domain (CRD) of the frizzled 6 (Fz6) receptor
CRD_SFRP3	2	1	cd07441	Cysteine-rich domain of the secreted frizzled-related protein 3 (SFRP3, alias FRZB), a Wnt antagonist
CT47	2	1	NA	NA
CTC1	2	1	NA	NA
CYCLIN	2	2	cd00043	Cyclin box fold. Protein binding domain functioning in cell-cycle and transcription control. Present in cyclins, TFIIB and Retinoblastoma (RB).The cyclins consist of 8 classes of cell cycle regulators that regulate cyclin dependent kinases (CDKs). TFIIB...
Cadherin_pro	2	2	pfam08758	Cadherin prodomain like
Caldesmon	2	2	pfam02029	Caldesmon
Calx_beta	2	2	smart00237	Domains in Na-Ca exchangers and integrin-beta4
CarboxypepD_reg	2	2	pfam13620	Carboxypeptidase regulatory-like domain
CbiO	2	1	COG1122	ABC-type cobalt transport system, ATPase component [Inorganic ion transport and metabolism]
CitMHS	2	1	pfam03600	Citrate transporter
Cmyb_C	2	2	pfam09316	C-myb, C-terminal
Coatomer_WDAD	2	1	pfam04053	Coatomer WD associated region
Complex1_LYR_1	2	2	pfam13232	Complex1_LYR-like
Cornichon	2	2	pfam03311	Cornichon protein
CortBP2	2	1	pfam09727	Cortactin-binding protein-2
Cu-oxidase_2	2	2	pfam07731	Multicopper oxidase
Cu2_monooxygen	2	1	pfam01082	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
Cyclin_C	2	2	pfam02984	Cyclin, C-terminal domain
Cys_rich_FGFR	2	1	pfam00839	Cysteine rich repeat
Cyt_b561_CYBRD1	2	1	cd08765	Vertebrate cytochrome b(561), CYBRD1 gene product
DAO	2	1	pfam01266	FAD dependent oxidoreductase
DC_STAMP	2	1	pfam07782	DC-STAMP-like protein
DD_superfamily	2	2	cl14633	The Death Domain Superfamily of protein-protein interaction domains
